0	2
0	1
0	1
2	2
0	1
0	0
0	0
0	2
0	2
1	3
1	0
1	1
1	0
2	3
1	4
3	2
3	1
1	4
1	2
2	1
2	1
6	5
1	3
0	1
3	3
2	1
2	0
5	4
0	5
5	3
1	3
2	2
2	3
2	1
5	8
4	8
7	3
5	6
8	5
6	2
3	2
6	5
4	2
9	7
8	9
15	10
7	1
13	2
9	3
18	9
12	12
12	6
15	8
9	12
14	4
25	10
34	10
24	9
24	14
23	26
15	26
28	19
54	47
66	34
69	29
66	41
78	49
65	28
17	17
122	47
74	61
76	42
103	37
83	36
83	22
37	12
104	52
80	38
92	36
128	31
121	37
114	27
48	21
152	39
155	50
145	47
191	44
176	36
145	30
55	28
183	53
160	43
172	39
156	33
150	41
159	34
72	22
199	59
154	46
190	44
169	40
165	29
135	32
45	16
209	52
183	40
167	42
180	38
177	44
139	24
74	21
192	60
170	49
218	53
212	64
210	33
163	23
52	32
263	55
232	76
199	63
164	66
188	58
107	48
37	32
168	88
179	60
134	91
157	70
144	79
107	46
62	32
186	84
172	74
169	74
146	67
158	54
114	49
53	37
168	84
141	84
154	86
131	78
119	79
68	48
27	30
121	98
152	90
117	74
98	105
72	83
89	47
23	34
119	119
92	91
108	98
120	73
97	105
90	61
24	52
101	106
111	88
87	119
81	94
98	91
68	50
23	32
144	139
84	114
86	124
107	98
63	82
66	50
18	55
80	120
86	135
69	99
87	85
59	99
14	40
3	31
3	23
